id_anssi,type_bulletin,titre,date_publication,lien,nb_cve,cve_id,annee,cvss_score,cvss_severity,cvss_version,cwe_id,cwe_desc,description,vendor,product,versions,epss_score,epss_percentile,source,criticite,risque_combine
CERTFR-2024-AVI-0106,Avis,Multiples vulnérabilités dans Fortinet FortiSIEM,2024-02-08,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0106/,3,CVE-2024-23108,2024,9.7,CRITICAL,cvssV3_1,CWE-78,Execute unauthorized code or commands,An improper neutralization of special elements used in an os command ('os command injection') in Fortinet FortiSIEM version 7.1.0 through 7.1.1 and 7.0.0 through 7.0.2 and 6.7.0 through 6.7.8 and 6.6.0 through 6.6.3 and 6.5.0 through 6.5.2 and 6.4.0 through 6.4.2 allows attacker to execute unauthorized code or commands via via crafted API requests.,Fortinet,FortiSIEM,"7.1.0, 7.0.0, 6.7.0, 6.6.0, 6.5.0",0.91253,0.99631,zip,Critique,8.851541
CERTFR-2023-AVI-0939,Avis,Multiples vulnérabilités dans les produits Adobe,2023-11-15,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0939/,23,CVE-2023-44353,2023,9.8,CRITICAL,cvssV3_1,CWE-502,Deserialization of Untrusted Data (CWE-502),Adobe ColdFusion versions 2023.5 (and earlier) and 2021.11 (and earlier) are affected by an Deserialization of Untrusted Data vulnerability that could result in Arbitrary code execution. Exploitation of this issue does not require user interaction.,Adobe,ColdFusion,0,0.90264,0.99576,zip,Critique,8.845872
CERTFR-2024-AVI-0899,Avis,Vulnérabilité dans Grafana,2024-10-18,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0899/,1,CVE-2024-9264,2024,9.4,CRITICAL,cvssV4_0,CWE-94,CWE-94: Improper Control of Generation of Code ('Code Injection'),"The SQL Expressions experimental feature of Grafana allows for the evaluation of `duckdb` queries containing user input. These queries are insufficiently sanitized before being passed to `duckdb`, leading to a command injection and local file inclusion vulnerability. Any user with the VIEWER or higher permission is capable of executing this attack.  The `duckdb` binary must be present in Grafana's $PATH for this attack to function; by default, this binary is not installed in Grafana distributions.",Grafana,Grafana,"11.0.0, 11.1.0, 11.2.0, 11.0.0, 11.1.0",0.93989,0.99883,zip,Critique,8.834966
CERTFR-2024-AVI-0681,Avis,Multiples vulnérabilités dans Microsoft Windows,2024-08-14,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0681/,65,CVE-2024-38063,2024,9.8,CRITICAL,cvssV3_1,CWE-191,CWE-191: Integer Underflow (Wrap or Wraparound),Windows TCP/IP Remote Code Execution Vulnerability,Microsoft,Windows 10 Version 1809,10.0.17763.0,0.89875,0.9955,zip,Critique,8.80775
CERTFR-2025-ALE-010,Alerte,[MàJ] Multiples vulnérabilités dans Microsoft SharePoint,2025-07-21,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-010/,2,CVE-2025-53770,2025,9.8,CRITICAL,cvssV3_1,CWE-502,CWE-502: Deserialization of Untrusted Data,"Deserialization of untrusted data in on-premises Microsoft SharePoint Server allows an unauthorized attacker to execute code over a network.
Microsoft is aware that an exploit for CVE-2025-53770 exists in the wild.
Microsoft is preparing and fully testing a comprehensive update to address this vulnerability.  In the meantime, please make sure that the mitigation provided in this CVE documentation is in place so that you are protected from exploitation.",Microsoft,Microsoft SharePoint Enterprise Server 2016,16.0.0,0.89607,0.99536,zip,Critique,8.781486000000001
CERTFR-2023-AVI-0970,Avis,Multiples vulnérabilités dans les produits OwnCloud,2023-11-22,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0970/,3,CVE-2023-49105,2023,9.8,CRITICAL,cvssV3_1,,,"An issue was discovered in ownCloud owncloud/core before 10.13.1. An attacker can access, modify, or delete any file without authentication if the username of a victim is known, and the victim has no signing-key configured. This occurs because pre-signed URLs can be accepted even when no signing-key is configured for the owner of the files. The earliest affected version is 10.6.0.",,,,0.89605,0.99536,zip,Critique,8.78129
CERTFR-2024-ALE-015,Alerte,[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks,2024-11-15,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/,2,CVE-2024-0012,2024,9.3,CRITICAL,cvssV4_0,CWE-306,CWE-306 Missing Authentication for Critical Function,"An authentication bypass in Palo Alto Networks PAN-OS software enables an unauthenticated attacker with network access to the management web interface to gain PAN-OS administrator privileges to perform administrative actions, tamper with the configuration, or exploit other authenticated privilege escalation vulnerabilities like  CVE-2024-9474 https://security.paloaltonetworks.com/CVE-2024-9474 .

The risk of this issue is greatly reduced if you secure access to the management web interface by restricting access to only trusted internal IP addresses according to our recommended  best practice deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue is applicable only to PAN-OS 10.2, PAN-OS 11.0, PAN-OS 11.1, and PAN-OS 11.2 software.

Cloud NGFW and Prisma Access are not impacted by this vulnerability.",Palo Alto Networks,Cloud NGFW,,0.943,0.99939,zip,Critique,8.7699
CERTFR-2024-AVI-0212,Avis,Multiples vulnérabilités dans les produits Fortinet,2024-03-13,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0212/,9,CVE-2023-48788,2024,9.3,CRITICAL,cvssV3_1,CWE-89,Execute unauthorized code or commands,"A improper neutralization of special elements used in an sql command ('sql injection') in Fortinet FortiClientEMS version 7.2.0 through 7.2.2, FortiClientEMS 7.0.1 through 7.0.10 allows attacker to execute unauthorized code or commands via specially crafted packets.",Fortinet,FortiClientEMS,"7.2.0, 7.0.1",0.9416,0.99909,zip,Critique,8.75688
CERTFR-2022-ALE-012,Alerte,[MàJ] Vulnérabilité dans FortiOS SSL-VPN,2022-12-13,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-012/,1,CVE-2022-42475,2022,9.3,CRITICAL,cvssV3_1,CWE-197,Execute unauthorized code or commands,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS SSL-VPN 7.2.0 through 7.2.2, 7.0.0 through 7.0.8, 6.4.0 through 6.4.10, 6.2.0 through 6.2.11, 6.0.15 and earlier  and FortiProxy SSL-VPN 7.2.0 through 7.2.1, 7.0.7 and earlier may allow a remote unauthenticated attacker to execute arbitrary code or commands via specifically crafted requests.",Fortinet,FortiProxy,"7.2.0, 7.0.0, 2.0.0, 1.2.0, 1.1.0",0.94005,0.99886,zip,Critique,8.742465000000001
CERTFR-2024-AVI-0859,Avis,Multiples vulnérabilités dans les produits Palo Alto Networks,2024-10-10,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0859/,25,CVE-2024-9465,2024,9.2,CRITICAL,cvssV4_0,CWE-89,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"An SQL injection vulnerability in Palo Alto Networks Expedition allows an unauthenticated attacker to reveal Expedition database contents, such as password hashes, usernames, device configurations, and device API keys. With this, attackers can also create and read arbitrary files on the Expedition system.",Palo Alto Networks,Expedition,1.2.0,0.94286,0.99934,zip,Critique,8.674312
